Filename,Number,Result,Threshold,Result_Data
20250916_21MeOHACN_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,1,pass,25.0,11.11
20250916_532MeOHIPAACN_BrainLipidEx_LC-Cer_R-3_Op-TGL_Proj-solventmatrix_Cer_Splash,2,pass,25.0,11.81
20250916_532MeOHIPAACN_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH,3,pass,25.0,8.41
20250916_12CHCl3MeOH_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH,4,fail,25.0,N/A
20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-PE_R-2_Op-TGL_Proj-solventmatrix_PE_withSPLASH,5,fail,25.0,N/A
20250916_532MeOHIPAACN_BrainLipidEx_LC-PE_R-1_Op-TGL_Proj-solventmatrix_PE_withSPLASH,6,pass,25.0,9.81
20250916_532MeOHIPAACN_BrainLipidEx_LC-PE_R-3_Op-TGL_Proj-solventmatrix_PE_withSPLASH,7,pass,25.0,8.66
20250916_21MeOHACN_BrainLipidEx_LC-PC_R-1_Op-TGL_Proj-solventmatrix_PC_withSPLASH,8,pass,25.0,8.11
20250916_21MeOHIPA_BrainLipidEx_LC-TG_R-3_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,9,fail,25.0,N/A
20250916_21MeOHIPA_BrainLipidEx_LC-Cer_R-3_Op-TGL_Proj-solventmatrix_Cer_Splash,10,pass,25.0,5.85
20250916_12CHCl3MeOH_BrainLipidEx_LC-PC_R-2_Op-TGL_Proj-solventmatrix_PC_withSPLASH,11,fail,25.0,26.34
20250916_21MeOHACN_BrainLipidEx_LC-PE_R-1_Op-TGL_Proj-solventmatrix_PE_withSPLASH,12,pass,25.0,15.37
20250916_532MeOHIPAACN_BrainLipidEx_LC-TG_R-2_Op-TGL_Proj-solventmatrix_TG_18-0_Splash,13,pass,25.0,16.50
20250916_12CHCl3MeOH_BrainLipidEx_LC-Cer_R-2_Op-TGL_Proj-solventmatrix_Cer_Splash,14,pass,25.0,11.16
20250916_12CHCl3MeOH_BrainLipidEx_LC-PS_R-3_Op-TGL_Proj-solventmatrix_PS_Splash,15,fail,25.0,N/A
20250916_124CHCl3MeOHIPA_BrainLipidEx_LC-Cer_R-3_Op-TGL_Proj-solventmatrix_Cer_Splash,16,pass,25.0,7.84
20250916_532MeOHIPAACN_BrainLipidEx_LC-PC_R-3_Op-TGL_Proj-solventmatrix_PC_withSPLASH,17,pass,25.0,7.19
20250916_532MeOHIPAACN_BrainLipidEx_LC-PS_R-2_Op-TGL_Proj-solventmatrix_PS_Splash,18,pass,25.0,7.35
